scientific_name,common_names,category,conservation_status
Juncus diffusissimus,"Diffuse Rush, Slimpod Rush",Vascular Plant,
Juncus drummondii,"Drummond Rush, Drummond's Rush",Vascular Plant,
Juncus dubius,"Dubius Rush, Mariposa Rush, Questionable Rush",Vascular Plant,
Juncus dudleyi,"Dudley Rush, Dudley's Rush, Dudley's Rush",Vascular Plant,
Juncus effusus var. exiguus,"Lamp Rush, Small Rush",Vascular Plant,
Juncus effusus var. pacificus,Pacific Rush,Vascular Plant,
Juncus effusus var. solutus,Lamp Rush,Vascular Plant,
Juncus ensifolius,"Swordleaf Rush, Three-Stamened Rush",Vascular Plant,
Juncus ensifolius var. montanus,Rocky Mountain Rush,Vascular Plant,
Juncus filiformis,Thread Rush,Vascular Plant,
Juncus gymnocarpus,"Few-Seeded Rush, Naked-Fruited Rush",Vascular Plant,
Juncus hallii,"Hall Rush, Hall's Rush",Vascular Plant,
Juncus hemiendytus var. abjectus,Herman's Dwarf Rush,Vascular Plant,
Juncus hemiendytus var. hemiendytus,Herman's Dwarf Rush,Vascular Plant,
Juncus interior,Inland Rush,Vascular Plant,
Juncus longii,Long's Rush,Vascular Plant,
Juncus longistylis,"Long-Style Rush, Long-Styled Rush",Vascular Plant,
Juncus macrandrus,Longanther Rush,Vascular Plant,
Juncus marginatus,"Grassleaf Rush, Margined Rush",Vascular Plant,
Juncus mertensianus,Mertens' Rush,Vascular Plant,
Juncus mexicanus,Mexican Rush,Vascular Plant,
Juncus nevadensis,"Nevada Rush, Sierra Rush",Vascular Plant,
Juncus nodosus,"Jointed Rush, Knotted Rush",Vascular Plant,
Juncus occidentalis,Western Rush,Vascular Plant,
Juncus orthophyllus,Straightleaf Rush,Vascular Plant,
Juncus oxymeris,Pointed Rush,Vascular Plant,
Juncus parryi,"Parry Rush, Parry's Rush",Vascular Plant,
Juncus regelii,"Regel Rush, Regel's Rush",Vascular Plant,
Juncus saximontanus,Rocky Mountain Rush,Vascular Plant,
Juncus scirpoides,"Rush, Scirpus-Like Rush",Vascular Plant,
Juncus subcaudatus var. subcaudatus,Woodland Rush,Vascular Plant,
Juncus tenuis,"Field Rush, Path Rush, Poverty Rush, Slender Rush, Slender Yard Rush, Wiregrass, Poverty Rush",Vascular Plant,
Juncus tiehmii,"Nevada Rush, Tiehm's Rush",Vascular Plant,
Juncus torreyi,"Torrey Rush, Torrey's Rush",Vascular Plant,
Juncus trifidus,Highland Rush,Vascular Plant,
Juncus triformis,Yosemite Dwarf Rush,Vascular Plant,
Juncus uncialis,Twelfth Rush,Vascular Plant,
Juncus vaseyi,"Vasey Rush, Vasey's Rush",Vascular Plant,
Juncus xiphioides,Irisleaf Rush,Vascular Plant,
Juniperus chinensis,Chinese Juniper,Vascular Plant,
Juniperus communis,"Common Juniper, Dwarf Juniper",Vascular Plant,
Juniperus communis var. depressa,Common Juniper,Vascular Plant,
Juniperus occidentalis,Western Juniper,Vascular Plant,
Juniperus scopulorum,Rocky Mountain Juniper,Vascular Plant,
Juniperus virginiana,Red Cedar,Vascular Plant,
Justicia americana,"Common Water-Willow, Water-Willow",Vascular Plant,
Kalmia latifolia,Mountain Laurel,Vascular Plant,
Kalmia microphylla,"Alpine Bog Laurel, Alpine Laurel",Vascular Plant,
Kalmia polifolia,"Bog Kalmia, Bog Laurel, Box Laurel, Swamp Laurel",Vascular Plant,
Kalmia polifolia ssp. polifolia,Mountain Laurel,Vascular Plant,
Kelloggia galioides,"Milk Kelloggia, Milky Kelloggia",Vascular Plant,
Kerria japonica,"Japanese-Rose, Kerria",Vascular Plant,
Kickxia elatine,Sharpleaf Cancerwort,Vascular Plant,
Koeleria macrantha,"Junegrass, Prairie Junegrass",Vascular Plant,
Krascheninnikovia lanata,Winterfat,Vascular Plant,
Krigia biflora,"Dwarf Dandelion, Two-Flowered Dwarf Dandelion",Vascular Plant,
Krigia caespitosa,Weedy Dwarfdandelion,Vascular Plant,
Krigia dandelion,"Dwarf Dandelion, Potato Dandelion",Vascular Plant,
Krigia montana,"False Dandelion, Mountain Krigia",Vascular Plant,
Krigia virginica,"Dwarf Dandelion, Virginia Dwarf Dandelion",Vascular Plant,
Kumlienia hystricula,Waterfall False Buttercup,Vascular Plant,
Kummerowia stipulacea,Korean Bush-Clover,Vascular Plant,
Kummerowia striata,Japanese Bush-Clover,Vascular Plant,
Kyllinga brevifolioides,"Pasture Flatsedge, Short-Foliaged Umbrella-Sedge",Vascular Plant,
Kyllinga gracillima,Spikesedge,Vascular Plant,
Kyllinga pumila,Annual Umbrella-Sedge,Vascular Plant,
Labidesthes sicculus,Brook Silverside,Fish,
Laburnum anagyroides,Laburnum,Vascular Plant,
Lactuca biennis,"Tall Blue Lettuce, Tall Blue Lettuce, Wild Blue Lettuce",Vascular Plant,
Lactuca canadensis,"Canada Lettuce, Wild Lettuce",Vascular Plant,
Lactuca floridana,"Woodland Blue Lettuce, Woodland Lettuce",Vascular Plant,
Lactuca graminifolia,Grassleaf Lettuce,Vascular Plant,
Lactuca hirsuta,Hairy Lettuce,Vascular Plant,
Lactuca saligna,Willowleaf Lettuce,Vascular Plant,
Lactuca serriola,"China Lettuce, Prickly Lettuce, Wild Lettuce, Prickly Lettuce",Vascular Plant,
Lagopus leucura,White-Tailed Ptarmigan,Bird,
Lamium amplexicaule,"Common Deadnettle, Henbit, Common Henbit, Giraffehead, Henbit, Henbit Deadnettle",Vascular Plant,
Lamium purpureum,"Purple Deadnettle, Purple Dead-Nettle",Vascular Plant,
Lampetra appendix,American Brook Lamprey,Fish,
Lampropeltis,"Kingsnakes, Milk Snakes",Reptile,
Lampropeltis calligaster rhombomaculata,Mole Kingsnake,Reptile,
Lampropeltis getula californiae,California Kingsnake,Reptile,Species of Concern
Lampropeltis getula getula,Eastern Kingsnake,Reptile,
Lampropeltis getula nigra,Black Kingsnake,Reptile,
Lampropeltis triangulum elapsoides,Scarlet Kingsnake,Reptile,
Lampropeltis triangulum triangulum,Eastern Milk Snake,Reptile,
Lampropeltis zonata multicincta,Sierra Mountain Kingsnake,Reptile,
Lanius excubitor,"Great Grey Shrike, Northern Shrike, Northern Shrike",Bird,
Lanius ludovicianus,Loggerhead Shrike,Bird,Species of Concern
Laportea canadensis,"Wood Nettle, Wood-Nettle",Vascular Plant,
Lapsana communis,"Common Nipplewort, Nipplewort",Vascular Plant,
Larus argentatis,Herring Gull,Bird,
Larus argentatus,"European Herring Gull, Herring Gull",Bird,
Larus atricilla,Laughing Gull,Bird,Species of Concern
Larus californicus,California Gull,Bird,
Larus canus,Mew Gull,Bird,
Larus delawarensis,Ring-Billed Gull,Bird,
Larus philadelphia,Bonaparte's Gull,Bird,
Larus pipixcan,Franklin's Gull,Bird,
Lasionycteris noctivagans,"Silver-Haired Bat, Silver-Haired Bat, Silver-Haired Bat",Mammal,Species of Concern
Lasiurus blossevillii,Western Red Bat,Mammal,Species of Concern
Lasiurus borealis,"Eastern Red Bat, Red Bat",Mammal,
Lasiurus cinereus,"Hoary Bat, Hoary Bat, Hoary Bat",Mammal,
Lasthenia californica,"California Goldfields, Goldfields",Vascular Plant,
Lasthenia platycarpha,Alkali Goldfields,Vascular Plant,
Lathyrus jepsonii var. californicus,California Pea,Vascular Plant,
Lathyrus lanszwertii var. aridus,Nevada Pea,Vascular Plant,
Lathyrus lanszwertii var. lanszwertii,"Lanszwert's Pea, Lanszwert's Peavine",Vascular Plant,
Lathyrus latifolius,"Broad-Leaf Peavine, Everlasting Pea, Everlasting Peavine, Everlasting-Pea, Perennial Pea, Perennial Peavine, Perennial Sweetpea",Vascular Plant,
Lathyrus sulphureus,"Snub Pea, Sulfur Pea",Vascular Plant,
Lathyrus venosus var. intonsus,Veiny Pea,Vascular Plant,
Layia pentachaeta ssp. pentachaeta,Sierra Tidytips,Vascular Plant,
Lechea racemulosa,"Illinois Pinweed, Pinweed",Vascular Plant,
Ledum glandulosum,"Glandular Labrador Tea, Western Labrador Tea",Vascular Plant,
Leersia hexandra,Southern Cutgrass,Vascular Plant,
Leersia oryzoides,Rice Cutgrass,Vascular Plant,
Leersia virginica,Virginia Cutgrass,Vascular Plant,
Leiophyllum buxifolium,Sand Myrtle,Vascular Plant,
Lemmiscus curtatus,Sagebrush Vole,Mammal,
Lemna gibba,"Swollen Duckweed, Inflated Duckweed, Swollen Duckweed",Vascular Plant,
Lemna minuta,Least Duckweed,Vascular Plant,
Lemna trisulca,"Ivy-Leaf Duckweed, Star Duckweed",Vascular Plant,
Lemna turionifera,Turion Duckweed,Vascular Plant,
Lemna valdiviana,"Duckweed, Pale Duckweed, Pale Duckweed, Valdivia Duckweed, Valdivia's Duckweed",Vascular Plant,
Leonurus cardiaca,"Common Mother-Wort, Motherwort",Vascular Plant,
Lepechinia calycina,Woodbalm,Vascular Plant,
Lepidium campestre,"Cow-Cress, Field Pepper-Grass, Cream-Anther Field Pepperwort, Field Pepperweed",Vascular Plant,
Lepidium densiflorum,Common Pepperweed,Vascular Plant,
Lepidium densiflorum var. densiflorum,"Common Pepperweed, Miner's Pepperwort",Vascular Plant,
Lepidium densiflorum var. macrocarpum,Bigseed Pepperweed,Vascular Plant,
Lepidium densiflorum var. pubecarpum,Babyseed Pepperweed,Vascular Plant,
Lepidium perfoliatum,"Clasping Pepperweed, Clasping Pepperwort, Claspingleaf Pepperweed",Vascular Plant,
Lepidium ramosissimum,"Manybranched Pepperweed, Pepperweed",Vascular Plant,
Lepidium ramosissimum var. bourgeauanum,Bourgeau's Pepperweed,Vascular Plant,
Lepidium sativum,"Garden Pepperwort, Gardencress Pepperweed",Vascular Plant,
Lepidium virginicum,"Poor Man's Pepper, Poor-Man's Pepper-Grass",Vascular Plant,
Lepidium virginicum var. pubescens,Hairy Pepperweed,Vascular Plant,
Lepidium virginicum var. virginicum,"Poorman's-Pepperwort, Virginia Pepperweed",Vascular Plant,
Lepisosteus osseus,Longnose Gar,Fish,
Lepomis auritus,Redbreast Sunfish,Fish,
Lepomis cyanellus,Green Sunfish,Fish,
Lepomis gibbosus,Pumpkinseed,Fish,
Lepomis gulosus,Warmouth,Fish,
Lepomis humilis,Orangespotted Sunfish,Fish,
Lepomis macrochirus,Bluegill,Fish,
Lepomis megalotis,Longear Sunfish,Fish,
Lepomis microlophus,Redear Sunfish,Fish,
Leptobryum pyriforme,Leptobryum Moss,Nonvascular Plant,
Leptochloa panicea ssp. brachiata,Mucronate Sprangeltop,Vascular Plant,
Leptodactylon pungens,"Common Prickly Gilia, Granite Gilia, Granite Prickly Gilia, Granite Prickly Phlox",Vascular Plant,
Leptodictyum riparium,Streamside Leptodictyum Moss,Nonvascular Plant,
Leptodontium excelsum,Grandfather Mountain Leptodontium,Nonvascular Plant,
Leptodontium flexifolium,Pale-Margined Leptodontium,Nonvascular Plant,
Leptohymenium sharpii,Sharp's Leptohymenium Moss,Nonvascular Plant,Species of Concern
Lepus americanus,Snowshoe Hare,Mammal,
Lepus americanus tahoensis,Sierra Nevada Snowshoe Hare,Mammal,Species of Concern
Lepus townsendii,"White-Tailed Jack Rabbit, White-Tailed Jackrabbit",Mammal,
Lepus townsendii townsendii,Western White-Tailed Jackrabbit,Mammal,
Leskea gracilescens,Leskea Moss,Nonvascular Plant,
Leskea obscura,Leskea Moss,Nonvascular Plant,
Leskeella nervosa,Leskeella,Nonvascular Plant,
Lespedeza X nuttallii,Hybrid Bush-Clover,Vascular Plant,
Lespedeza bicolor,"Japanese Lespedeza, Shrubby Bushclover",Vascular Plant,
Lespedeza capitata,"Round-Head Bush-Clover, Round-Headed Bush Clover",Vascular Plant,
Lespedeza cuneata,"Chinese Bushclover, Cuneate Bush-Clover",Vascular Plant,
Lespedeza frutescens,Shrubby Lespedeza,Vascular Plant,
Lespedeza hirta,Hairy Bush-Clover,Vascular Plant,
Lespedeza intermedia,"Wand Bush-Clover, Wandlike Bush-Clover",Vascular Plant,
Lespedeza procumbens,"Low Bush-Clover, Trailing Bush-Clover",Vascular Plant,
Lespedeza repens,"Creeping Bush-Clover, Trailing Bush-Clover",Vascular Plant,
Lespedeza stuevei,Tall Lespedeza,Vascular Plant,
Lespedeza violacea,Violet Bush-Clover,Vascular Plant,
Lespedeza virginica,Slender Bush-Clover,Vascular Plant,
Lesquerella alpina var. alpina,Alpine Bladderpod,Vascular Plant,
Lessingia leptoclada,Sierra Lessingia,Vascular Plant,
Leucanthemum vulgare,"Oxeye Daisy, Ox-Eye Daisy, Oxeyedaisy, Oxeye-Daisy, Daisy",Vascular Plant,
Leucobryum albidum,Leucobryum Moss,Nonvascular Plant,
Leucobryum glaucum,Leucobryum Moss,Nonvascular Plant,
Leucodon brachypus,Leucodon Moss,Nonvascular Plant,
Leucodon brachypus var. andrewsianus,Andrews' Lecodon Moss,Nonvascular Plant,
Leucodon julaceus,Leucodon Moss,Nonvascular Plant,
Leucopoa kingii,"Spike Fescue, Spike-Fescue",Vascular Plant,
Leucosticte atrata,Black Rosy-Finch,Bird,
Leucosticte tephrocotis,"Gray-Crowned Rosy Finch, Gray-Crowned Rosy-Finch",Bird,
Leucothoe davisiae,Sierra Laurel,Vascular Plant,
Leucothoe fontanesiana,"Dog-Hobble, Highland Dog-Hobble",Vascular Plant,
Leucothoe recurva,"Deciduous Leucothoe, Recurved Dog-Hobble",Vascular Plant,
Lewisia congdonii,Congdon's Lewisia,Vascular Plant,
Lewisia disepala,"Yosemite Bitterroot, Yosemite Lewisia",Vascular Plant,
Lewisia glandulosa,Sierra Lewisia,Vascular Plant,
Lewisia kelloggii,Kellogg's Lewisia,Vascular Plant,
Lewisia nevadensis,"Nevada Bitterroot, Nevada Bitter-Root, Nevada Lewisia",Vascular Plant,
Lewisia pygmaea,"Alpine Bitterroot, Alpine Lewisia, Pigmy Bitterroot",Vascular Plant,
Lewisia rediviva var. rediviva,"Bitter Root, Oregon Bitterroot",Vascular Plant,
Lewisia triphylla,"Threeleaf Bitterroot, Threeleaf Lewisia",Vascular Plant,
Leymus triticoides,"Beardless Lyme Grass, Beardless Wildrye, Creeping Wildrye",Vascular Plant,
Liatris aspera,"Rough Gayfeather, Tall Blazing Star, Tall Gayfeather",Vascular Plant,
Liatris scariosa,Devil's Bite,Vascular Plant,
Liatris spicata,"Dense Blazing Star, Spike Gay-Feather",Vascular Plant,
Liatris squarrosa,Scaly Blazing Star,Vascular Plant,
Liatris squarrulosa,"Appalachian Gayfeather, Earle's Blazing Star",Vascular Plant,
Ligusticum canadense,"Loveage, Nondo Lovage",Vascular Plant,
Ligusticum canbyi,"Canby's Licorice-Root, Canby's Lovage",Vascular Plant,
Ligusticum filicinum,"Fernleaf Licoriceroot, Fernleaf Licorice-Root",Vascular Plant,
Ligusticum grayi,"Gray's Licoriceroot, Gray's Licorice-Root",Vascular Plant,
Ligustrum sinense,Chinese Privet,Vascular Plant,
Ligustrum vulgare,"Common Privet, European Privet",Vascular Plant,
Lilaea scilloides,"Awl-Leaf Lilaea, Flowering Quillwort",Vascular Plant,
Lilium canadense ssp. editorum,Canada Lily,Vascular Plant,
Lilium grayi,Gray's Lily,Vascular Plant,Species of Concern
Lilium lancifolium,Tiger Lily,Vascular Plant,
Lilium michauxii,Carolina Lily,Vascular Plant,
Lilium parvum,"Sierra Tiger Lily, Sierra Tigerlily",Vascular Plant,
Lilium philadelphicum,"Philadelphia Wood Lily, Wood Lily",Vascular Plant,
Lilium superbum,Turk's Cap Lily,Vascular Plant,
Lilium washingtonianum ssp. washingtonianum,Typical Washington Lily,Vascular Plant,
Limnanthes alba ssp. alba,White Meadowfoam,Vascular Plant,
Limnanthes alba ssp. versicolor,White Meadowfoam,Vascular Plant,
Limnanthes montana,Mountain Meadowfoam,Vascular Plant,
Limnanthes striata,Foothill Meadowfoam,Vascular Plant,
Limnodromus griseus,Short-Billed Dowitcher,Bird,
Limnodromus scolopaceus,Long-Billed Dowitcher,Bird,
Limnothlypis swainsonii,Swainson's Warbler,Bird,
Limosa fedoa,Marbled Godwit,Bird,Species of Concern
Limosa haemastica,Hudsonian Godwit,Bird,
Limosella acaulis,Owyhee Mudwort,Vascular Plant,
Limosella aquatica,"Awlleaf Mudwort, Awl-Leaf Mudwort, Northern Mudwort, Water Mudwort",Vascular Plant,
Linanthus bicolor,True Babystars,Vascular Plant,
Linanthus ciliatus,"Bristlyleaf Linanthus, Whiskerbrush",Vascular Plant,
Linanthus dichotomus,"Evening Snow, Eveningsnow",Vascular Plant,
Linanthus filipes,Thread Linanthus,Vascular Plant,
Linanthus harknessii,"Harkness' Flaxflower, Threeseed Linanthus",Vascular Plant,
Linanthus montanus,Mustang Clover,Vascular Plant,
Linanthus nuttallii ssp. pubescens,"Nuttall's Deserttrumpets, Nuttall's Linanthus",Vascular Plant,
Linaria dalmatica,"Dalmatian Toadflax, Dalmation Toadflax",Vascular Plant,
Linaria vulgaris,"Butter And Eggs, Flaxweed, Greater Butter-And-Eggs, Jacob's Ladder, Ramsted, Wild Snapdragon, Yellow Toadflax, Butter-And-Eggs",Vascular Plant,
Lindera benzoin,Spicebush,Vascular Plant,
Lindernia dubia,"Moistbank Pimpernel, Shortstalk Lindernia, Yellowseed False Pimpernel, Yellow-Seed False Pimpernel, Moistbank Pimpernel, Yellow-Seed False-Pimpernel",Vascular Plant,
Lindernia dubia var. anagallidea,"False Pimpernel, False Pimpernel, Yellowseed False Pimpernel, Yellow-Seed False Pimpernel",Vascular Plant,
Lindernia dubia var. dubia,False Pimpernel,Vascular Plant,
Linnaea borealis,Twinflower,Vascular Plant,
Linnaea borealis var. longiflora,Longtube Twinflower,Vascular Plant,
Linum intercursum,Sandplain Flax,Vascular Plant,
Linum lewisii var. alpicola,Prairie Flax,Vascular Plant,
Linum lewisii var. lewisii,"Lewis' Flax, Prairie Flax",Vascular Plant,
Linum medium var. texanum,Stiff Yellow Flax,Vascular Plant,
Linum striatum,"Ridged Yellow Flax, Yellow Flax",Vascular Plant,
Linum virginianum,Virginia Flax,Vascular Plant,
Liparis liliifolia,"Large Twayblade, Lily-Leaved Twayblade",Vascular Plant,
Liparis loeselii,"Fen Orchid, Fen Orchis",Vascular Plant,
Lipocarpha micrantha,"Dwarf Bulrush, Smallflower Halfchaff Sedge, Small-Flower Halfchaff Sedge, Smallflower Hemicarpha",Vascular Plant,
Lipocarpha occidentalis,Western Halfchaff Sedge,Vascular Plant,
Liquidambar styraciflua,"Sweet Gum, Sweetgum",Vascular Plant,
Liriodendron tulipifera,"Tulip Tree, Tuliptree, Yellow Poplar",Vascular Plant,
Liriope spicatum,Liriope,Vascular Plant,
Listera borealis,"Northern Listera, Northern Twayblade",Vascular Plant,
Listera caurina,Northwestern Twayblade,Vascular Plant,
Listera convallarioides,"Broadleaf Twayblade, Broad-Lip Twayblade, Broadlipped Listera, Broadlipped Twayblade",Vascular Plant,
Listera cordata,Heartleaf Twayblade,Vascular Plant,
Listera smallii,"Kidney-Leaf Twayblade, Small's Twayblade",Vascular Plant,
Lithobates catesbeianus,Bullfrog,Amphibian,
Lithocarpus densiflorus var. echinoides,Tanoak,Vascular Plant,
Lithophragma affine,San Francisco Woodland-Star,Vascular Plant,
Lithophragma bolanderi,Bolander's Woodland-Star,Vascular Plant,
Lithophragma glabrum,"Bulbous Woodland-Star, Smooth Woodland-Star",Vascular Plant,
Lithophragma heterophyllum,Hillside Woodland-Star,Vascular Plant,
Lithophragma parviflorum,Smallflower Woodland-Star,Vascular Plant,
Lithophragma tenellum,Slender Woodland-Star,Vascular Plant,
Lithospermum arvense,"Corn Gromwell, Puccoon",Vascular Plant,
Lithospermum canescens,"Hoary Puccoon, Orange Puccoon",Vascular Plant,
Lithospermum incisum,"Fringed Gromwell, Fringed Puccoon, Narrowleaf Gromwell, Narrowleaf Pucoon, Narrowleaf Stoneseed, Trumpet Stoneseed",Vascular Plant,
Lithospermum ruderale,"Western Gromwell, Western Stoneseed, White Stoneseed",Vascular Plant,
Lloydia serotina,"Alpine Lily, Alplily, Common Alplily",Vascular Plant,
Lobelia amoena,Southern Lobelia,Vascular Plant,
Lobelia cardinalis,Cardinal Flower,Vascular Plant,
Lobelia inflata,"Indian Tabacco, Indian-Tobacco",Vascular Plant,
Lobelia puberula,Downy Lobelia,Vascular Plant,
Lobelia siphilitica,"Great Blue Lobelia, Great Lobelia",Vascular Plant,
Lobelia spicata var. leptostachys,Lobelia,Vascular Plant,
Loeskeobryum brevirostre,Loeskeobryum Moss,Nonvascular Plant,
Logfia arvensis,Field Cottonrose,Vascular Plant,
Lolium arundinaceum,Tall Fescue,Vascular Plant,
Lolium multiflorum,"Annual Ryegrass, Italian Ryegrass",Vascular Plant,
Lolium perenne,"Italian Ryegrass, Perennial Rye Grass, Perennial Ryegrass, Perennial Ryegrass",Vascular Plant,
Lolium perenne ssp. multiflorum,Italian Ryegrass,Vascular Plant,
Lolium perenne ssp. perenne,Perennial Ryegrass,Vascular Plant,
Lolium pratense,"Meadow Fescue, Meadow Ryegrass",Vascular Plant,
Lolium temulentum,"Darnel, Darnel Ryegrass, Poison Darnel",Vascular Plant,
Lomatium ambiguum,Wyeth Biscuitroot,Vascular Plant,
Lomatium congdonii,"Congdon's Lomatium, Mariposa Desertparsley",Vascular Plant,Species of Concern
Lomatium cous,"Cous Biscuitroot, Cous' Biscuitroot, Cous-Root Desert-Parsley",Vascular Plant,
Lomatium dissectum var. dissectum,Fernleaf Biscuitroot,Vascular Plant,
Lomatium dissectum var. multifidum,Carrotleaf Biscuitroot,Vascular Plant,
Lomatium macrocarpum,"Bigseed Biscuitroot, Bigseed Lomatium, Largefruit Biscuitroot, Large-Fruit Desert-Parsley, Long Mamma",Vascular Plant,
Lomatium nevadense var. parishii,Parish's Biscuitroot,Vascular Plant,
Lomatium torreyi,Sierra Biscuitroot,Vascular Plant,
Lomatium utriculatum,Common Lomatium,Vascular Plant,
Lonicera caerulea,"Blue Honeysuckle, Fly Honeysuckle, Sweetberry Honeysuckle",Vascular Plant,
Lonicera canadensis,"American Fly-Honeysuckle, Canadian Honeysuckle",Vascular Plant,
Lonicera conjugialis,Purpleflower Honeysuckle,Vascular Plant,
Lonicera flava,Yellow Honeysuckle,Vascular Plant,
Lonicera fragrantissima,Fragrant Honeysuckle,Vascular Plant,
Lonicera interrupta,Chaparral Honeysuckle,Vascular Plant,
Lonicera involucrata,"Bearberry Honeysuckle, Twinberry Honeysuckle",Vascular Plant,
Lonicera involucrata var. involucrata,Twinberry Honeysuckle,Vascular Plant,
Lonicera japonica,Japanese Honeysuckle,Vascular Plant,
Lonicera korolkowii,Small-Leaved Honeysuckle,Vascular Plant,
Lonicera maackii,Amur Honeysuckle,Vascular Plant,
Lonicera morrowii,"Morrow Honeysuckle, Morrow's Honeysuckle",Vascular Plant,
Lonicera sempervirens,Trumpet Honeysuckle,Vascular Plant,
Lonicera standishii,Standish's Honeysuckle,Vascular Plant,
Lonicera tatarica,"Bush Honeysuckle, Tatarian Honeysuckle",Vascular Plant,
Lonicera utahensis,Utah Honeysuckle,Vascular Plant,
Lontra canadensis,River Otter,Mammal,
Lophocolea appalachiana,Appalachian Lophocolea,Nonvascular Plant,Species of Concern
Lophocolea muricata,Liverwort,Nonvascular Plant,
Lophodytes cucullatus,Hooded Merganser,Bird,
Lotus argophyllus var. fremontii,Fremont's Birdsfoot Trefoil,Vascular Plant,
Lotus corniculatus,"Birdsfoot Trefoil, Lotus",Vascular Plant,
Lotus crassifolius var. crassifolius,Big Deervetch,Vascular Plant,
Lotus humistratus,"Foothill Deervetch, Maresfat",Vascular Plant,
Lotus micranthus,Desert Deervetch,Vascular Plant,
Lotus nevadensis var. nevadensis,"Nevada Bird's-Foot Trefoil, Nevada Trefoil",Vascular Plant,
Lotus oblongifolius var. oblongifolius,"Streambank Bird's-Foot Trefoil, Streambank Trefoil",Vascular Plant,
Lotus scoparius var. scoparius,Common Deerweed,Vascular Plant,
Lotus strigosus,"Bishop's Lotus, Strigose Bird's-Foot Trefoil, Strigose Bird's-Foot-Trefoil",Vascular Plant,
Lotus wrangelianus,Chilean Bird's-Foot Trefoil,Vascular Plant,
Loxia curvirostra,Red Crossbill,Bird,Species of Concern
Loxia leucoptera,White-Winged Crossbill,Bird,
Ludwigia alternifolia,"Alternate-Leaved Seedbox, Bushy Seedbox",Vascular Plant,
Ludwigia decurrens,"Decurrent Seedbox, Primrose Willow",Vascular Plant,
Ludwigia grandiflora,Large-Flower Primrose-Willow,Vascular Plant,
Ludwigia palustris,"Marsh Primrose-Willow, Marsh Seedbox, Water Purslane",Vascular Plant,
Ludwigia peploides ssp. glabrescens,Floating Primrosewillow,Vascular Plant,
Ludwigia uruguayensis,Seedbox,Vascular Plant,
Lunaria annua,"Annual Honesty, Moneyplant, Annual Honesty",Vascular Plant,
Lupinus adsurgens,Drew's Silky Lupine,Vascular Plant,
Lupinus albicaulis,Sicklekeel Lupine,Vascular Plant,
Lupinus albifrons var. albifrons,Silver Lupine,Vascular Plant,
Lupinus andersonii,Anderson's Lupine,Vascular Plant,
Lupinus arbustus,"Longspur Lupine, Spurred Lupine",Vascular Plant,
Lupinus argenteus var. argenteus,"Silver-Stem Lupine, Silvery Lupine",Vascular Plant,
Lupinus argenteus var. laxiflorus,Silvery Lupine,Vascular Plant,
Lupinus argenteus var. meionanthus,Lake Tahoe Lupine,Vascular Plant,
Lupinus benthamii,Spider Lupine,Vascular Plant,
Lupinus bicolor,"Bicolor Lupine, Miniature Lupine",Vascular Plant,
Lupinus breweri var. breweri,Brewer's Lupine,Vascular Plant,
Lupinus breweri var. bryoides,Matted Lupine,Vascular Plant,
Lupinus breweri var. grandiflorus,Matted Lupine,Vascular Plant,
Lupinus covillei,Shaggy Lupine,Vascular Plant,
Lupinus formosus var. formosus,Summer Lupine,Vascular Plant,
Lupinus fulcratus,Greenstipule Lupine,Vascular Plant,
Lupinus gracilentus,Green Slender Lupine,Vascular Plant,
Lupinus grayi,"Gray's Lupine, Sierra Lupine",Vascular Plant,
Lupinus latifolius,"Broadleaf Lupine, Broad-Leaf Lupine",Vascular Plant,
Lupinus nanus,"Annual Lupine, Sky Lupine",Vascular Plant,
Lupinus pratensis var. pratensis,Inyo Meadow Lupine,Vascular Plant,
Lupinus rivularis,Riverbank Lupine,Vascular Plant,
Lupinus sericeus,"Pursh's Silky Lupine, Silky Lupine",Vascular Plant,
Lupinus stiversii,Harlequin Annual Lupine,Vascular Plant,
Lutra canadensis,"Northern River Otter, River Otter",Mammal,
Luxilus chrysocephalus,Striped Shiner,Fish,
Luxilus coccogenis,Warpaint Shiner,Fish,
Luxilus cornutus,Common Shiner,Fish,
Luzula acuminata,Hairy Woodrush,Vascular Plant,
Luzula acuminata var. acuminata,Wood-Rush,Vascular Plant,
Luzula acuminata var. carolinae,Wood-Rush,Vascular Plant,
Luzula bulbosa,Bulbous Woodrush,Vascular Plant,
Luzula comosa,Pacific Woodrush,Vascular Plant,
Luzula divaricata,Forked Woodrush,Vascular Plant,
Luzula echinata,"Wood Rush, Wood-Rush",Vascular Plant,
Luzula glabrata var. hitchcockii,Hitchcock's Smooth Woodrush,Vascular Plant,
Luzula multiflora,"Common Woodrush, Common Wood-Rush, Common Woodrush, Wood-Rush",Vascular Plant,
Luzula orestera,Sierra Woodrush,Vascular Plant,
Luzula parviflora,"Millet Woodrush, Smallflower Woodrush, Smallflowered Woodrush",Vascular Plant,
Luzula spicata,"Spiked Woodrush, Spiked Wood-Rush",Vascular Plant,
Luzula subcongesta,Donner Woodrush,Vascular Plant,
Lychnis coronaria,Rose Campion,Vascular Plant,
Lycium barbarum,"Common Matrimonyvine, Matrimony Vine, Matrimonyvine, Matrimony-Vine",Vascular Plant,
Lycopersicon esculentum,"Garden Tomato, Tomato",Vascular Plant,
Lycopodiella inundata,Inundated Clubmoss,Vascular Plant,
